country_name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;iso2
Afghanistan;537777811.1;548888895.6;546666677.8;751111191.1;800000044.4;1006666637.8;1399999966.7;1673333417.8;1373333366.7;1408888922.2;1748886595.6;1831108971.1;1595555475.6;1733333264.4;2155555497.8;2366666615.6;2555555566.7;2953333417.8;3300000108.9;3697940409.6;3641723322.0;3478787909.1;;;;;;;;;;;;;;;;;;;;;3825701405.5;4520946849.3;5224896718.7;6203256497.1;6971758332.9;9747886104.5;10109296957.7;12416152648.1;15856668496.4;17805098367.3;19907329906.0;20146416876.4;20497128600.3;19134221744.5;18116572399.1;18753456506.6;18053222734.9;18799444414.6;19955929060.8;14266499429.9;;AF
Albania;;;;;;;;;;;;;;;;;;;;;;;;;1857337995.3;1897050116.6;2097326250.0;2080796250.0;2051236250.0;2253090000.0;2028553750.0;1099559027.8;652174990.8;1185315468.5;1880950864.4;2392764853.4;3199640815.4;2258513974.1;2545964540.9;3212121651.0;3480355258.0;3922100793.5;4348068242.2;5611496257.1;7184685781.5;8052077248.1;8896075004.6;10677324852.9;12881352893.7;12044205549.7;11926926615.8;12890760315.1;12319834195.3;12776224497.0;13228147516.1;11386853113.0;11861199830.8;13019726211.7;15156424015.2;15401826127.3;15162734205.2;17930565118.8;18916378860.5;AL
Algeria;2723615451.3;2434747055.9;2001444543.9;2702982017.6;2909316435.3;3136284306.9;3039859187.5;3370870376.3;3852147026.8;4257253264.1;4863526896.6;5077183093.9;6766743956.9;8707858912.1;13209871625.9;15557902754.0;17728240932.3;20972113685.0;26364491313.4;33243706859.7;42345829079.2;44348590460.9;45207167470.3;48801369800.4;53698548293.1;57937868670.2;63692007897.4;66745818375.5;59089396860.4;55634721572.7;62048507531.3;45715676428.3;48003133347.0;49945584452.7;42543176828.9;41764291671.8;46941554225.4;48177612042.2;48187781984.5;48640671735.0;54790398570.3;54744697926.1;56760355865.0;67863850334.0;85332581188.6;103198212442.7;117027280155.4;134977082623.8;171000699876.7;137211003661.7;161207307027.2;200013098817.3;209059080929.5;209755003250.7;213809979836.3;165979224866.1;160034212126.0;170096988531.9;174910684781.6;171760275466.6;145743542982.6;163472387986.8;194998449769.1;DZ
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;512000000.0;524000000.0;509000000.0;500000000.0;493000000.0;518000000.0;560000000.0;675000000.0;573000000.0;570000000.0;640000000.0;638000000.0;643000000.0;673000000.0;671000000.0;612000000.0;639000000.0;647000000.0;721000000.0;750000000.0;871000000.0;AS
Andorra;;;;;;;;;;;78617711.1;89406608.1;113414397.4;150841639.3;186557082.0;220112572.2;227283850.8;253997897.2;308020261.2;411548748.4;446377776.8;388983266.2;375914743.6;327850042.5;330073080.6;346742714.7;481996012.9;611299924.5;721425939.2;795489582.0;1028989692.1;1106891361.5;1209992020.3;1007090269.9;1017544068.8;1178745282.9;1224024139.2;1180645571.9;1211953994.1;1239840639.6;1429047881.8;1546912331.9;1755989353.9;2361636235.2;2895047587.1;3159826891.5;3456264324.6;3952395030.1;4085780202.9;3674190066.4;3449925693.6;3629133062.6;3188653258.6;3193513470.4;3271686452.5;2789882569.1;2896611878.6;3000160414.6;3218418631.7;3155150255.9;2891002460.3;3325143693.3;3352031094.2;AD
Angola;;;;;;;;;;;;;;;;;;;;;5934073603.7;5553824463.9;5553824463.9;5787823808.7;6135166254.2;7558613008.0;7076793822.7;8089279284.6;8775116269.2;10207922517.1;11236275842.8;10401188707.3;8307826847.4;6084688935.8;4438321017.4;5538749259.9;6535434716.0;7675412600.7;6506381416.5;6152922942.2;9129594815.6;8936079251.4;15285592486.3;17812704627.0;23552057820.5;36970901023.8;52381025102.3;65266415707.0;88538664884.3;70307196474.1;83799473759.7;111789747670.6;128052915203.0;132339108708.4;135966802156.5;90496420626.2;52761617225.9;73690155046.6;79450688232.0;70897962712.6;48501561230.0;66505129989.2;106782770714.6;AO
Antigua and Barbuda;;;;;;;;;;;;;;;;;;77496753.7;87879341.5;109079978.9;131431026.7;147841734.4;164369278.9;182144093.0;208372846.3;240923924.8;290440140.7;337174861.9;398637727.8;438794788.5;459470370.4;481707407.4;499281481.5;535174074.1;589429629.6;577281481.5;633729629.6;680618518.5;727859259.3;766200000.0;826370370.4;800481481.5;814381481.5;856396296.3;919729629.6;1022962963.0;1157662963.0;1312759259.3;1370070370.4;1228329629.6;1148700000.0;1281337037.0;1327107407.4;1325425925.9;1378829629.6;1437755555.6;1489692592.6;1531151851.9;1661529629.6;1725351851.9;1410796296.3;1601366666.7;1867733333.3;AG
Argentina;;;;;;;;;;;;;;;;;;;;;;;;109490000000.0;112988571428.6;88416666666.7;106213829787.2;109029439252.3;126928000000.0;76629657863.7;141352654305.2;189719984268.5;228778917308.2;236741715015.0;257440000000.0;258031750000.0;272149750000.0;292859000000.0;298948250000.0;283523000000.0;284203750000.0;268696750000.0;97724004251.9;127586973492.2;164657930452.8;198737095012.3;232557260817.3;287530508430.6;361558037110.4;332976484577.6;423627422092.5;530158122010.4;545982375701.1;552025140252.2;526319673731.6;594749285413.2;557532320663.0;643628393281.4;524819892360.2;447754683615.2;385740508437.0;487902572164.3;631133384439.9;AR
Armenia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2256863448.8;2069870129.9;1272835453.4;1201312829.3;1315158636.7;1468317435.2;1596968946.2;1639492444.8;1893726437.3;1845482173.0;1911563668.9;2118467913.4;2376335048.4;2807061008.7;3576615240.4;4900469511.1;6384452066.5;9206301269.8;11662040713.9;8647937081.3;9260285755.6;10142111824.6;10619320682.9;11121464437.0;11609513246.8;10553337518.4;10546136235.5;11527458709.0;12457940694.7;13619290539.2;12641698583.2;13878908628.9;19513474648.2;AM
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;405586592.2;487709497.2;596648044.7;695530726.3;764804469.3;872067039.1;958659217.9;1083240223.5;1245810055.9;1320670391.1;1379888268.2;1531843575.4;1665363128.5;1722905027.9;1873452514.0;1896456983.2;1961843575.4;2044111731.8;2254830726.3;2360017318.4;2469782681.6;2677641340.8;2843024581.0;2553793296.1;2453597206.7;2637859217.9;2615208379.9;2727849720.7;2790849720.7;2962907262.6;2983635195.5;3092429050.3;3276184357.5;3395798882.7;2558906303.9;3103184101.5;3544707788.1;AW
