sector,country,year,GH emissions
Energy Industries,Australia,1990,143 172.76
Energy Industries,Australia,1991,146 396.55
Energy Industries,Australia,1992,149 719.80
Energy Industries,Australia,1993,151 492.72
Energy Industries,Australia,1994,152 307.64
Energy Industries,Australia,1995,158 140.20
Energy Industries,Australia,1996,162 742.64
Energy Industries,Australia,1997,169 413.37
Energy Industries,Australia,1998,182 065.82
Energy Industries,Australia,1999,189 654.80
Energy Industries,Australia,2000,192 519.66
Energy Industries,Australia,2001,200 056.94
Energy Industries,Australia,2002,202 550.84
Energy Industries,Australia,2003,205 188.59
Energy Industries,Australia,2004,214 175.42
Energy Industries,Australia,2005,216 528.07
Energy Industries,Australia,2006,221 026.74
Energy Industries,Australia,2007,224 087.96
Energy Industries,Australia,2008,225 886.85
Energy Industries,Australia,2009,232 820.84
Energy Industries,Australia,2010,226 959.03
Energy Industries,Australia,2011,221 003.02
Energy Industries,Australia,2012,222 772.02
Energy Industries,Australia,2013,211 608.43
Energy Industries,Australia,2014,205 575.02
Energy Industries,Australia,2015,212 312.51
Energy Industries,Australia,2016,219 696.63
Energy Industries,Australia,2017,218 631.00
Energy Industries,Australia,2018,214 859.15
Energy Industries,Australia,2019,213 954.25
Energy Industries,Australia,2020,207 918.77
Energy Industries,Australia,2021,198 077.78
Energy Industries,Austria,1990,14 007.51
Energy Industries,Austria,1991,14 796.39
Energy Industries,Austria,1992,11 552.40
Energy Industries,Austria,1993,11 626.26
Energy Industries,Austria,1994,11 914.57
Energy Industries,Austria,1995,13 058.70
Energy Industries,Austria,1996,14 033.58
Energy Industries,Austria,1997,14 079.84
Energy Industries,Austria,1998,13 137.39
Energy Industries,Austria,1999,12 634.30
Energy Industries,Austria,2000,12 314.54
Energy Industries,Austria,2001,13 705.39
Energy Industries,Austria,2002,13 369.39
Energy Industries,Austria,2003,15 915.55
Energy Industries,Austria,2004,15 852.98
Energy Industries,Austria,2005,16 026.09
Energy Industries,Austria,2006,14 821.36
Energy Industries,Austria,2007,13 621.83
Energy Industries,Austria,2008,13 446.73
Energy Industries,Austria,2009,12 437.31
Energy Industries,Austria,2010,13 747.13
Energy Industries,Austria,2011,13 408.62
Energy Industries,Austria,2012,11 975.07
Energy Industries,Austria,2013,11 006.22
Energy Industries,Austria,2014,9 387.20
Energy Industries,Austria,2015,10 502.43
Energy Industries,Austria,2016,10 287.27
Energy Industries,Austria,2017,10 902.60
Energy Industries,Austria,2018,10 054.06
Energy Industries,Austria,2019,10 169.59
Energy Industries,Austria,2020,8 799.60
Energy Industries,Austria,2021,8 854.59
Energy Industries,Belgium,1990,29 728.26
Energy Industries,Belgium,1991,30 160.52
Energy Industries,Belgium,1992,29 246.31
Energy Industries,Belgium,1993,28 515.09
Energy Industries,Belgium,1994,29 653.93
Energy Industries,Belgium,1995,29 257.02
Energy Industries,Belgium,1996,28 612.36
Energy Industries,Belgium,1997,27 553.00
Energy Industries,Belgium,1998,30 452.69
Energy Industries,Belgium,1999,26 761.75
Energy Industries,Belgium,2000,28 495.94
Energy Industries,Belgium,2001,26 162.18
Energy Industries,Belgium,2002,27 641.47
Energy Industries,Belgium,2003,28 805.44
Energy Industries,Belgium,2004,29 258.73
Energy Industries,Belgium,2005,28 994.10
Energy Industries,Belgium,2006,27 883.22
Energy Industries,Belgium,2007,27 193.62
Energy Industries,Belgium,2008,25 089.89
Energy Industries,Belgium,2009,25 567.60
Energy Industries,Belgium,2010,26 128.80
Energy Industries,Belgium,2011,22 705.52
Energy Industries,Belgium,2012,22 553.36
Energy Industries,Belgium,2013,21 105.22
Energy Industries,Belgium,2014,20 114.11
Energy Industries,Belgium,2015,20 835.57
Energy Industries,Belgium,2016,19 536.72
Energy Industries,Belgium,2017,19 682.86
Energy Industries,Belgium,2018,19 636.85
Energy Industries,Belgium,2019,20 964.21
Energy Industries,Belgium,2020,18 984.02
Energy Industries,Belgium,2021,18 191.20
Energy Industries,Canada,1990,143 124.25
Energy Industries,Canada,1991,142 048.26
Energy Industries,Canada,1992,150 548.23
Energy Industries,Canada,1993,145 271.42
Energy Industries,Canada,1994,147 088.43
Energy Industries,Canada,1995,152 051.16
Energy Industries,Canada,1996,154 812.86
Energy Industries,Canada,1997,164 914.57
Energy Industries,Canada,1998,179 628.96
Energy Industries,Canada,1999,187 088.41
Energy Industries,Canada,2000,202 853.73
Energy Industries,Canada,2001,207 409.01
Energy Industries,Canada,2002,206 396.17
Energy Industries,Canada,2003,215 970.66
Energy Industries,Canada,2004,208 789.50
Energy Industries,Canada,2005,207 998.47
Energy Industries,Canada,2006,205 598.97
Energy Industries,Canada,2007,221 420.43
Energy Industries,Canada,2008,209 996.54
Energy Industries,Canada,2009,195 424.15
Energy Industries,Canada,2010,198 759.64
Energy Industries,Canada,2011,196 018.22
Energy Industries,Canada,2012,196 617.91
Energy Industries,Canada,2013,194 572.74
Energy Industries,Canada,2014,194 654.05
Energy Industries,Canada,2015,201 726.36
Energy Industries,Canada,2016,192 551.44
Energy Industries,Canada,2017,192 128.84
Energy Industries,Canada,2018,190 371.46
Energy Industries,Canada,2019,189 801.73
Energy Industries,Canada,2020,174 305.55
Energy Industries,Canada,2021,177 238.08
Energy Industries,Chile,1990,9 037.73
Energy Industries,Chile,1991,7 326.67
Energy Industries,Chile,1992,6 123.20
Energy Industries,Chile,1993,6 519.03
Energy Industries,Chile,1994,7 593.18
Energy Industries,Chile,1995,8 311.26
Energy Industries,Chile,1996,12 247.20
Energy Industries,Chile,1997,13 531.85
Energy Industries,Chile,1998,16 157.13
Energy Industries,Chile,1999,18 383.43
Energy Industries,Chile,2000,15 259.88
Energy Industries,Chile,2001,13 623.53
Energy Industries,Chile,2002,14 711.21
Energy Industries,Chile,2003,16 178.13
Energy Industries,Chile,2004,19 674.56
Energy Industries,Chile,2005,18 924.03
Energy Industries,Chile,2006,19 266.24
Energy Industries,Chile,2007,25 653.19
Energy Industries,Chile,2008,26 377.48
Energy Industries,Chile,2009,24 435.16
Energy Industries,Chile,2010,24 830.60
Energy Industries,Chile,2011,30 556.41
Energy Industries,Chile,2012,32 409.43
Energy Industries,Chile,2013,29 934.64
Energy Industries,Chile,2014,27 208.52
Energy Industries,Chile,2015,30 854.83
Energy Industries,Chile,2016,32 175.82
Energy Industries,Chile,2017,31 628.39
Energy Industries,Chile,2018,30 815.04
Energy Industries,Chile,2019,31 327.32
Energy Industries,Chile,2020,29 841.64
Energy Industries,Chile,2021,..
Energy Industries,Colombia,1990,11 067.01
Energy Industries,Colombia,1991,11 762.77
Energy Industries,Colombia,1992,13 192.94
Energy Industries,Colombia,1993,11 989.20
Energy Industries,Colombia,1994,10 590.51
Energy Industries,Colombia,1995,12 648.32
Energy Industries,Colombia,1996,11 663.79
Energy Industries,Colombia,1997,14 975.20
Energy Industries,Colombia,1998,15 390.84
Energy Industries,Colombia,1999,13 266.82
Energy Industries,Colombia,2000,15 080.91
Energy Industries,Colombia,2001,14 837.39
Energy Industries,Colombia,2002,14 322.37
Energy Industries,Colombia,2003,14 435.81
Energy Industries,Colombia,2004,12 986.42
Energy Industries,Colombia,2005,13 746.65
Energy Industries,Colombia,2006,15 724.32
Energy Industries,Colombia,2007,15 961.41
Energy Industries,Colombia,2008,15 810.36
Energy Industries,Colombia,2009,19 753.94
Energy Industries,Colombia,2010,23 906.81
Energy Industries,Colombia,2011,19 821.56
Energy Industries,Colombia,2012,21 622.22
Energy Industries,Colombia,2013,24 747.50
Energy Industries,Colombia,2014,25 429.22
Energy Industries,Colombia,2015,27 177.60
Energy Industries,Colombia,2016,28 205.76
Energy Industries,Colombia,2017,22 277.20
Energy Industries,Colombia,2018,24 531.73
Energy Industries,Colombia,2019,..
Energy Industries,Colombia,2020,..
Energy Industries,Colombia,2021,..
Energy Industries,Costa Rica,1990,211.29
Energy Industries,Costa Rica,1991,217.49
Energy Industries,Costa Rica,1992,652.92
Energy Industries,Costa Rica,1993,497.21
Energy Industries,Costa Rica,1994,918.02
Energy Industries,Costa Rica,1995,816.56
Energy Industries,Costa Rica,1996,556.91
Energy Industries,Costa Rica,1997,268.30
Energy Industries,Costa Rica,1998,388.66
Energy Industries,Costa Rica,1999,166.74
Energy Industries,Costa Rica,2000,35.33
Energy Industries,Costa Rica,2001,178.46
Energy Industries,Costa Rica,2002,150.65
Energy Industries,Costa Rica,2003,219.42
Energy Industries,Costa Rica,2004,180.65
Energy Industries,Costa Rica,2005,295.90
Energy Industries,Costa Rica,2006,567.82
Energy Industries,Costa Rica,2007,735.97
Energy Industries,Costa Rica,2008,683.15
Energy Industries,Costa Rica,2009,442.89
Energy Industries,Costa Rica,2010,610.22
Energy Industries,Costa Rica,2011,679.68
Energy Industries,Costa Rica,2012,594.95
Energy Industries,Costa Rica,2013,861.06
Energy Industries,Costa Rica,2014,777.98
Energy Industries,Costa Rica,2015,106.18
Energy Industries,Costa Rica,2016,163.02
Energy Industries,Costa Rica,2017,64.41
Energy Industries,Costa Rica,2018,141.29
Energy Industries,Costa Rica,2019,96.28
Energy Industries,Costa Rica,2020,45.95
Energy Industries,Costa Rica,2021,..
Energy Industries,Czechia,1990,56 830.03
Energy Industries,Czechia,1991,55 451.73
Energy Industries,Czechia,1992,54 625.59
Energy Industries,Czechia,1993,54 297.19
Energy Industries,Czechia,1994,54 817.99
Energy Industries,Czechia,1995,61 734.87
Energy Industries,Czechia,1996,66 488.97
Energy Industries,Czechia,1997,62 781.61
Energy Industries,Czechia,1998,60 652.02
Energy Industries,Czechia,1999,58 199.89
Energy Industries,Czechia,2000,62 034.93
Energy Industries,Czechia,2001,64 216.82
Energy Industries,Czechia,2002,62 771.91
Energy Industries,Czechia,2003,62 421.75
Energy Industries,Czechia,2004,62 540.58
Energy Industries,Czechia,2005,63 138.26
Energy Industries,Czechia,2006,62 587.52
Energy Industries,Czechia,2007,66 235.34
Energy Industries,Czechia,2008,61 506.36
Energy Industries,Czechia,2009,57 436.62
Energy Industries,Czechia,2010,62 175.65
Energy Industries,Czechia,2011,61 893.03
Energy Industries,Czechia,2012,59 023.19
Energy Industries,Czechia,2013,55 200.07
Energy Industries,Czechia,2014,53 767.73
Energy Industries,Czechia,2015,53 666.27
Energy Industries,Czechia,2016,54 431.97
Energy Industries,Czechia,2017,53 647.51
Energy Industries,Czechia,2018,52 933.60
Energy Industries,Czechia,2019,49 175.55
Energy Industries,Czechia,2020,41 591.71
Energy Industries,Czechia,2021,41 053.53
Energy Industries,Denmark,1990,26 529.25
Energy Industries,Denmark,1991,35 421.63
Energy Industries,Denmark,1992,30 493.16
Energy Industries,Denmark,1993,32 096.71
Energy Industries,Denmark,1994,36 171.76
Energy Industries,Denmark,1995,32 803.84
Energy Industries,Denmark,1996,45 237.19
Energy Industries,Denmark,1997,36 074.21
Energy Industries,Denmark,1998,32 463.56
Energy Industries,Denmark,1999,29 378.50
Energy Industries,Denmark,2000,26 362.04
