sector,country,year,GH emissions
Energy Industries,Australia,1990,143172.76
Energy Industries,Australia,1991,146396.55
Energy Industries,Australia,1992,149719.8
Energy Industries,Australia,1993,151492.72
Energy Industries,Australia,1994,152307.64
Energy Industries,Australia,1995,158140.2
Energy Industries,Australia,1996,162742.64
Energy Industries,Australia,1997,169413.37
Energy Industries,Australia,1998,182065.82
Energy Industries,Australia,1999,189654.8
Energy Industries,Australia,2000,192519.66
Energy Industries,Australia,2001,200056.94
Energy Industries,Australia,2002,202550.84
Energy Industries,Australia,2003,205188.59
Energy Industries,Australia,2004,214175.42
Energy Industries,Australia,2005,216528.07
Energy Industries,Australia,2006,221026.74
Energy Industries,Australia,2007,224087.96
Energy Industries,Australia,2008,225886.85
Energy Industries,Australia,2009,232820.84
Energy Industries,Australia,2010,226959.03
Energy Industries,Australia,2011,221003.02
Energy Industries,Australia,2012,222772.02
Energy Industries,Australia,2013,211608.43
Energy Industries,Australia,2014,205575.02
Energy Industries,Australia,2015,212312.51
Energy Industries,Australia,2016,219696.63
Energy Industries,Australia,2017,218631.0
Energy Industries,Australia,2018,214859.15
Energy Industries,Australia,2019,213954.25
Energy Industries,Australia,2020,207918.77
Energy Industries,Australia,2021,198077.78
Energy Industries,Austria,1990,14007.51
Energy Industries,Austria,1991,14796.39
Energy Industries,Austria,1992,11552.4
Energy Industries,Austria,1993,11626.26
Energy Industries,Austria,1994,11914.57
Energy Industries,Austria,1995,13058.7
Energy Industries,Austria,1996,14033.58
Energy Industries,Austria,1997,14079.84
Energy Industries,Austria,1998,13137.39
Energy Industries,Austria,1999,12634.3
Energy Industries,Austria,2000,12314.54
Energy Industries,Austria,2001,13705.39
Energy Industries,Austria,2002,13369.39
Energy Industries,Austria,2003,15915.55
Energy Industries,Austria,2004,15852.98
Energy Industries,Austria,2005,16026.09
Energy Industries,Austria,2006,14821.36
Energy Industries,Austria,2007,13621.83
Energy Industries,Austria,2008,13446.73
Energy Industries,Austria,2009,12437.31
Energy Industries,Austria,2010,13747.13
Energy Industries,Austria,2011,13408.62
Energy Industries,Austria,2012,11975.07
Energy Industries,Austria,2013,11006.22
Energy Industries,Austria,2014,9387.2
Energy Industries,Austria,2015,10502.43
Energy Industries,Austria,2016,10287.27
Energy Industries,Austria,2017,10902.6
Energy Industries,Austria,2018,10054.06
Energy Industries,Austria,2019,10169.59
Energy Industries,Austria,2020,8799.6
Energy Industries,Austria,2021,8854.59
Energy Industries,Belgium,1990,29728.26
Energy Industries,Belgium,1991,30160.52
Energy Industries,Belgium,1992,29246.31
Energy Industries,Belgium,1993,28515.09
Energy Industries,Belgium,1994,29653.93
Energy Industries,Belgium,1995,29257.02
Energy Industries,Belgium,1996,28612.36
Energy Industries,Belgium,1997,27553.0
Energy Industries,Belgium,1998,30452.69
Energy Industries,Belgium,1999,26761.75
Energy Industries,Belgium,2000,28495.94
Energy Industries,Belgium,2001,26162.18
Energy Industries,Belgium,2002,27641.47
Energy Industries,Belgium,2003,28805.44
Energy Industries,Belgium,2004,29258.73
Energy Industries,Belgium,2005,28994.1
Energy Industries,Belgium,2006,27883.22
Energy Industries,Belgium,2007,27193.62
Energy Industries,Belgium,2008,25089.89
Energy Industries,Belgium,2009,25567.6
Energy Industries,Belgium,2010,26128.8
Energy Industries,Belgium,2011,22705.52
Energy Industries,Belgium,2012,22553.36
Energy Industries,Belgium,2013,21105.22
Energy Industries,Belgium,2014,20114.11
Energy Industries,Belgium,2015,20835.57
Energy Industries,Belgium,2016,19536.72
Energy Industries,Belgium,2017,19682.86
Energy Industries,Belgium,2018,19636.85
Energy Industries,Belgium,2019,20964.21
Energy Industries,Belgium,2020,18984.02
Energy Industries,Belgium,2021,18191.2
Energy Industries,Canada,1990,143124.25
Energy Industries,Canada,1991,142048.26
Energy Industries,Canada,1992,150548.23
Energy Industries,Canada,1993,145271.42
Energy Industries,Canada,1994,147088.43
Energy Industries,Canada,1995,152051.16
Energy Industries,Canada,1996,154812.86
Energy Industries,Canada,1997,164914.57
Energy Industries,Canada,1998,179628.96
Energy Industries,Canada,1999,187088.41
Energy Industries,Canada,2000,202853.73
Energy Industries,Canada,2001,207409.01
Energy Industries,Canada,2002,206396.17
Energy Industries,Canada,2003,215970.66
Energy Industries,Canada,2004,208789.5
Energy Industries,Canada,2005,207998.47
Energy Industries,Canada,2006,205598.97
Energy Industries,Canada,2007,221420.43
Energy Industries,Canada,2008,209996.54
Energy Industries,Canada,2009,195424.15
Energy Industries,Canada,2010,198759.64
Energy Industries,Canada,2011,196018.22
Energy Industries,Canada,2012,196617.91
Energy Industries,Canada,2013,194572.74
Energy Industries,Canada,2014,194654.05
Energy Industries,Canada,2015,201726.36
Energy Industries,Canada,2016,192551.44
Energy Industries,Canada,2017,192128.84
Energy Industries,Canada,2018,190371.46
Energy Industries,Canada,2019,189801.73
Energy Industries,Canada,2020,174305.55
Energy Industries,Canada,2021,177238.08
Energy Industries,Chile,1990,9037.73
Energy Industries,Chile,1991,7326.67
Energy Industries,Chile,1992,6123.2
Energy Industries,Chile,1993,6519.03
Energy Industries,Chile,1994,7593.18
Energy Industries,Chile,1995,8311.26
Energy Industries,Chile,1996,12247.2
Energy Industries,Chile,1997,13531.85
Energy Industries,Chile,1998,16157.13
Energy Industries,Chile,1999,18383.43
Energy Industries,Chile,2000,15259.88
Energy Industries,Chile,2001,13623.53
Energy Industries,Chile,2002,14711.21
Energy Industries,Chile,2003,16178.13
Energy Industries,Chile,2004,19674.56
Energy Industries,Chile,2005,18924.03
Energy Industries,Chile,2006,19266.24
Energy Industries,Chile,2007,25653.19
Energy Industries,Chile,2008,26377.48
Energy Industries,Chile,2009,24435.16
Energy Industries,Chile,2010,24830.6
Energy Industries,Chile,2011,30556.41
Energy Industries,Chile,2012,32409.43
Energy Industries,Chile,2013,29934.64
Energy Industries,Chile,2014,27208.52
Energy Industries,Chile,2015,30854.83
Energy Industries,Chile,2016,32175.82
Energy Industries,Chile,2017,31628.39
Energy Industries,Chile,2018,30815.04
Energy Industries,Chile,2019,31327.32
Energy Industries,Chile,2020,29841.64
Energy Industries,Chile,2021,
Energy Industries,Colombia,1990,11067.01
Energy Industries,Colombia,1991,11762.77
Energy Industries,Colombia,1992,13192.94
Energy Industries,Colombia,1993,11989.2
Energy Industries,Colombia,1994,10590.51
Energy Industries,Colombia,1995,12648.32
Energy Industries,Colombia,1996,11663.79
Energy Industries,Colombia,1997,14975.2
Energy Industries,Colombia,1998,15390.84
Energy Industries,Colombia,1999,13266.82
Energy Industries,Colombia,2000,15080.91
Energy Industries,Colombia,2001,14837.39
Energy Industries,Colombia,2002,14322.37
Energy Industries,Colombia,2003,14435.81
Energy Industries,Colombia,2004,12986.42
Energy Industries,Colombia,2005,13746.65
Energy Industries,Colombia,2006,15724.32
Energy Industries,Colombia,2007,15961.41
Energy Industries,Colombia,2008,15810.36
Energy Industries,Colombia,2009,19753.94
Energy Industries,Colombia,2010,23906.81
Energy Industries,Colombia,2011,19821.56
Energy Industries,Colombia,2012,21622.22
Energy Industries,Colombia,2013,24747.5
Energy Industries,Colombia,2014,25429.22
Energy Industries,Colombia,2015,27177.6
Energy Industries,Colombia,2016,28205.76
Energy Industries,Colombia,2017,22277.2
Energy Industries,Colombia,2018,24531.73
Energy Industries,Colombia,2019,
Energy Industries,Colombia,2020,
Energy Industries,Colombia,2021,
Energy Industries,Costa Rica,1990,211.29
Energy Industries,Costa Rica,1991,217.49
Energy Industries,Costa Rica,1992,652.92
Energy Industries,Costa Rica,1993,497.21
Energy Industries,Costa Rica,1994,918.02
Energy Industries,Costa Rica,1995,816.56
Energy Industries,Costa Rica,1996,556.91
Energy Industries,Costa Rica,1997,268.3
Energy Industries,Costa Rica,1998,388.66
Energy Industries,Costa Rica,1999,166.74
Energy Industries,Costa Rica,2000,35.33
Energy Industries,Costa Rica,2001,178.46
Energy Industries,Costa Rica,2002,150.65
Energy Industries,Costa Rica,2003,219.42
Energy Industries,Costa Rica,2004,180.65
Energy Industries,Costa Rica,2005,295.9
Energy Industries,Costa Rica,2006,567.82
Energy Industries,Costa Rica,2007,735.97
Energy Industries,Costa Rica,2008,683.15
Energy Industries,Costa Rica,2009,442.89
Energy Industries,Costa Rica,2010,610.22
Energy Industries,Costa Rica,2011,679.68
Energy Industries,Costa Rica,2012,594.95
Energy Industries,Costa Rica,2013,861.06
Energy Industries,Costa Rica,2014,777.98
Energy Industries,Costa Rica,2015,106.18
Energy Industries,Costa Rica,2016,163.02
Energy Industries,Costa Rica,2017,64.41
Energy Industries,Costa Rica,2018,141.29
Energy Industries,Costa Rica,2019,96.28
Energy Industries,Costa Rica,2020,45.95
Energy Industries,Costa Rica,2021,
Energy Industries,Czechia,1990,56830.03
Energy Industries,Czechia,1991,55451.73
Energy Industries,Czechia,1992,54625.59
Energy Industries,Czechia,1993,54297.19
Energy Industries,Czechia,1994,54817.99
Energy Industries,Czechia,1995,61734.87
Energy Industries,Czechia,1996,66488.97
Energy Industries,Czechia,1997,62781.61
Energy Industries,Czechia,1998,60652.02
Energy Industries,Czechia,1999,58199.89
Energy Industries,Czechia,2000,62034.93
Energy Industries,Czechia,2001,64216.82
Energy Industries,Czechia,2002,62771.91
Energy Industries,Czechia,2003,62421.75
Energy Industries,Czechia,2004,62540.58
Energy Industries,Czechia,2005,63138.26
Energy Industries,Czechia,2006,62587.52
Energy Industries,Czechia,2007,66235.34
Energy Industries,Czechia,2008,61506.36
Energy Industries,Czechia,2009,57436.62
Energy Industries,Czechia,2010,62175.65
Energy Industries,Czechia,2011,61893.03
Energy Industries,Czechia,2012,59023.19
Energy Industries,Czechia,2013,55200.07
Energy Industries,Czechia,2014,53767.73
Energy Industries,Czechia,2015,53666.27
Energy Industries,Czechia,2016,54431.97
Energy Industries,Czechia,2017,53647.51
Energy Industries,Czechia,2018,52933.6
Energy Industries,Czechia,2019,49175.55
Energy Industries,Czechia,2020,41591.71
Energy Industries,Czechia,2021,41053.53
Energy Industries,Denmark,1990,26529.25
Energy Industries,Denmark,1991,35421.63
Energy Industries,Denmark,1992,30493.16
Energy Industries,Denmark,1993,32096.71
Energy Industries,Denmark,1994,36171.76
Energy Industries,Denmark,1995,32803.84
Energy Industries,Denmark,1996,45237.19
Energy Industries,Denmark,1997,36074.21
Energy Industries,Denmark,1998,32463.56
Energy Industries,Denmark,1999,29378.5
Energy Industries,Denmark,2000,26362.04
Energy Industries,Denmark,2001,27719.78
Energy Industries,Denmark,2002,27895.46
Energy Industries,Denmark,2003,32635.1
Energy Industries,Denmark,2004,26722.08
Energy Industries,Denmark,2005,23472.77
Energy Industries,Denmark,2006,31384.71
Energy Industries,Denmark,2007,26682.21
Energy Industries,Denmark,2008,24591.74
Energy Industries,Denmark,2009,24483.8
Energy Industries,Denmark,2010,24508.9
Energy Industries,Denmark,2011,20489.3
Energy Industries,Denmark,2012,17174.44
