Place,Pays,Or,Argent,Bronze,Total,Lieu,Annee
1,Etats Unis,38,41,34,113,Tokyo,2021
2,Chine,36,32,18,86,Tokyo,2021
3,Japon,27,12,16,55,Tokyo,2021
4,Grande Bretagne,22,21,22,65,Tokyo,2021
5,Russie,20,28,23,71,Tokyo,2021
6,Australie,17,7,21,45,Tokyo,2021
7,Pays-Bas,10,12,14,36,Tokyo,2021
8,France,10,12,11,33,Tokyo,2021
9,Italie,10,10,20,40,Tokyo,2021
10,Allemagne,10,10,16,36,Tokyo,2021
11,Canada,7,6,11,24,Tokyo,2021
12,Brésil,7,6,8,21,Tokyo,2021
13,Nouvelle-Zélande,7,6,7,20,Tokyo,2021
14,Cuba,7,3,5,15,Tokyo,2021
15,Hongrie,6,7,7,20,Tokyo,2021
16,Corée du Sud,6,4,10,20,Tokyo,2021
17,Pologne,4,5,5,14,Tokyo,2021
18,République Tchèque,4,5,3,12,Tokyo,2021
19,Kenya,4,4,2,10,Tokyo,2021
20,Norvège,4,2,2,8,Tokyo,2021
21,Jamaïque,4,1,4,9,Tokyo,2021
22,Espagne,3,8,6,17,Tokyo,2021
23,Suède,3,6,0,9,Tokyo,2021
24,Suisse,3,4,6,13,Tokyo,2021
25,Danemark,3,4,4,11,Tokyo,2021
26,Croatie,3,3,2,8,Tokyo,2021
27,Iran,3,2,2,7,Tokyo,2021
28,Serbie,3,1,5,9,Tokyo,2021
29,Belgique,3,1,3,7,Tokyo,2021
30,Slovénie,3,1,1,5,Tokyo,2021
31,Ouzbékistan,3,0,2,5,Tokyo,2021
32,Géorgie,2,5,1,8,Tokyo,2021
33,Taïwan,2,4,6,12,Tokyo,2021
34,Turquie,2,2,9,13,Tokyo,2021
35,Bulgarie,2,1,2,5,Tokyo,2021
36,Grèce,2,1,1,4,Tokyo,2021
36,Ouganda,2,1,1,4,Tokyo,2021
38,Equateur,2,1,0,3,Tokyo,2021
39,Irlande,2,0,2,4,Tokyo,2021
39,Israël,2,0,2,4,Tokyo,2021
41,Lettonie,2,0,1,3,Tokyo,2021
41,Qatar,2,0,1,3,Tokyo,2021
43,Bahamas,2,0,0,2,Tokyo,2021
43,Kosovo,2,0,0,2,Tokyo,2021
45,Ukraine,1,6,12,19,Tokyo,2021
46,Biélorussie,1,3,3,7,Tokyo,2021
47,Roumanie,1,3,0,4,Tokyo,2021
47,Venezuela,1,3,0,4,Tokyo,2021
49,Inde,1,2,4,7,Tokyo,2021
50,Hong-Kong,1,2,2,5,Tokyo,2021
51,Philippines,1,2,1,4,Tokyo,2021
51,Slovaquie,1,2,1,4,Tokyo,2021
53,Afrique du Sud,1,2,0,3,Tokyo,2021
54,Autriche,1,1,4,6,Tokyo,2021
54,Egypte,1,1,4,6,Tokyo,2021
56,Indonésie,1,1,3,5,Tokyo,2021
57,Ethiopie,1,1,2,4,Tokyo,2021
57,Portugal,1,1,2,4,Tokyo,2021
59,Tunisie,1,1,0,2,Tokyo,2021
60,Estonie,1,0,1,2,Tokyo,2021
60,Fidji,1,0,1,2,Tokyo,2021
60,Thaïlande,1,0,1,2,Tokyo,2021
63,Bermudes,1,0,0,1,Tokyo,2021
63,Maroc,1,0,0,1,Tokyo,2021
63,Porto Rico,1,0,0,1,Tokyo,2021
66,Colombie,0,4,1,5,Tokyo,2021
67,Azerbaïdjan,0,3,4,7,Tokyo,2021
68,République Dominicaine,0,3,2,5,Tokyo,2021
69,Arménie,0,2,2,4,Tokyo,2021
70,Kirghizistan,0,2,1,3,Tokyo,2021
71,Mongolie,0,1,3,4,Tokyo,2021
72,Argentine,0,1,2,3,Tokyo,2021
72,Saint-Marin,0,1,2,3,Tokyo,2021
74,Jordanie,0,1,1,2,Tokyo,2021
74,Malaisie,0,1,1,2,Tokyo,2021
74,Nigéria,0,1,1,2,Tokyo,2021
77,Arabie Saoudite,0,1,0,1,Tokyo,2021
77,Bahreïn,0,1,0,1,Tokyo,2021
77,Lituanie,0,1,0,1,Tokyo,2021
77,Macédoine du Nord,0,1,0,1,Tokyo,2021
77,Namibie,0,1,0,1,Tokyo,2021
77,Turkménistan,0,1,0,1,Tokyo,2021
83,Kazakhstan,0,0,8,8,Tokyo,2021
84,Mexique,0,0,4,4,Tokyo,2021
85,Finlande,0,0,2,2,Tokyo,2021
86,Botswana,0,0,1,1,Tokyo,2021
86,Burkina Faso,0,0,1,1,Tokyo,2021
86,CIO,0,0,1,1,Tokyo,2021
86,Côte d'Ivoire,0,0,1,1,Tokyo,2021
86,Ghana,0,0,1,1,Tokyo,2021
86,Grenade,0,0,1,1,Tokyo,2021
86,Moldavie,0,0,1,1,Tokyo,2021
86,Syrie,0,0,1,1,Tokyo,2021
1,Etats Unis,46,37,38,121,Rio de Janeiro,2016
2,Grande Bretagne,27,23,17,67,Rio de Janeiro,2016
3,Chine,26,18,26,70,Rio de Janeiro,2016
4,Russie,19,17,19,55,Rio de Janeiro,2016
5,Allemagne,17,10,15,42,Rio de Janeiro,2016
6,Japon,12,8,21,41,Rio de Janeiro,2016
7,France,10,18,14,42,Rio de Janeiro,2016
8,Corée du Sud,9,3,9,21,Rio de Janeiro,2016
9,Italie,8,12,8,28,Rio de Janeiro,2016
10,Australie,8,11,10,29,Rio de Janeiro,2016
11,Pays-Bas,8,7,4,19,Rio de Janeiro,2016
12,Hongrie,8,3,4,15,Rio de Janeiro,2016
13,Brésil,7,6,6,19,Rio de Janeiro,2016
14,Espagne,7,4,6,17,Rio de Janeiro,2016
15,Kenya,6,6,1,13,Rio de Janeiro,2016
16,Jamaïque,6,3,2,11,Rio de Janeiro,2016
17,Croatie,5,3,2,10,Rio de Janeiro,2016
18,Cuba,5,2,4,11,Rio de Janeiro,2016
