Athlete,Nat,Gold,Silver,Bronze,Total
Michael Phelps,USA,23,3,2,28
Larisa Latynina,URS UKR,9,5,4,18
Paavo Nurmi,FIN,9,3,0,12
Mark Spitz,USA,9,1,1,11
Carl Lewis,USA,9,1,0,10
Marit Bjørgen,NOR,8,4,3,15
Ole Einar Bjørndalen,NOR,8,4,1,13
Birgit Fischer-Schmidt,GDR GER,8,4,0,12
Bjørn Dæhlie,NOR,8,4,0,12
Sawao Kato,JPN,8,3,1,12
Jenny Thompson,USA,8,3,1,12
Matt Biondi,USA,8,2,1,11
Ray Ewry,USA,8,0,0,8
Usain Bolt,JAM,8,0,0,8
Nikolay Andrianov,RUS URS,7,5,3,15
Isabell Werth,GER,7,5,0,12
Boris Shakhlin,URS UKR,7,4,2,13
Věra Čáslavská,CZE TCH,7,4,0,11
Viktor Chukarin,URS UKR,7,3,1,11
Allyson Felix,USA,7,3,1,11
Katie Ledecky,USA,7,3,0,10
Jason Kenny,GBR,7,2,0,9
Aladár Gerevich,HUN,7,1,2,10
Svetlana Romashina,ROC RUS,7,0,0,7
Caeleb Dressel,USA,7,0,0,7
Edoardo Mangiarotti,ITA,6,5,2,13
Ireen Wüst,NED,6,5,2,13
Hubert Van Innis,BEL,6,4,0,10
Ryan Lochte,USA,6,3,3,12
Lyubov Yegorova,RUS EUN,6,3,0,9
Akinori Nakayama,JPN,6,2,2,10
Valentina Vezzali,ITA,6,1,2,9
Gert Fredriksson,SWE,6,1,1,8
Danuta Kozák,HUN,6,1,1,8
Chris Hoy,GBR,6,1,0,7
Vitali Shcherba,BLR EUN,6,0,4,10
Reiner Klimke,GER FRG,6,0,2,8
Viktor An,KOR RUS,6,0,2,8
Pál Kovács,HUN,6,0,1,7
Natalie Geisenberger,GER,6,0,1,7
Rudolf Kárpáti,HUN,6,0,0,6
Nedo Nadi,ITA,6,0,0,6
Kristin Otto,GDR,6,0,0,6
Amy Van Dyken,USA,6,0,0,6
Lidiya Skoblikova,RUS URS,6,0,0,6
Tobias Arlt,GER,6,0,0,6
Tobias Wendl,GER,6,0,0,6
Takashi Ono,JPN,5,4,4,13
Carl Osburn,USA,5,4,2,11
Ágnes Keleti,HUN,5,3,2,10
"Gary Hall, Jr.",USA,5,3,2,10
Nadia Comăneci,ROU,5,3,1,9
Ian Thorpe,AUS,5,3,1,9
Ville Ritola,FIN,5,3,0,8
Emma McKeon,AUS,5,2,4,11
Polina Astakhova,URS UKR,5,2,3,10
Claudia Pechstein,GER,5,2,2,9
Elisabeta Oleniuc-Lipă,ROU,5,2,1,8
Johannes Thingnes Bø,NOR,5,2,1,8
Yukio Endo,JPN,5,2,0,7
Aaron Peirsol,USA,5,2,0,7
Martin Fourcade,FRA,5,2,0,7
Mitsuo Tsukahara,JPN,5,1,3,9
Bradley Wiggins,GBR,5,1,2,8
Nathan Adrian,USA,5,1,2,8
Hans Günter Winkler,GER FRG,5,1,1,7
Willis Lee,USA,5,1,1,7
Krisztina Egerszegi,HUN,5,1,1,7
Tom Jager,USA,5,1,1,7
Larisa Lazutina,RUS EUN,5,1,1,7
Clas Thunberg,FIN,5,1,1,7
Dana Vollmer,USA,5,1,1,7
Wu Minxia,CHN,5,1,1,7
Johannes Høsflot Klæbo,NOR,5,1,1,7
Nelli Kim,BLR URS,5,1,0,6
Anton Heida,USA,5,1,0,6
Ole Lilloe-Olsen,NOR,5,1,0,6
Don Schollander,USA,5,1,0,6
Thomas Alsgaard,NOR,5,1,0,6
Laura Trott-Kenny,GBR,5,1,0,6
Elaine Thompson-Herah,JAM,5,1,0,6
Steven Redgrave,GBR,5,0,1,6
Al Lane,USA,5,0,1,6
Johnny Weissmuller,USA,5,0,1,6
Bonnie Blair,USA,5,0,1,6
Georgeta Damian-Andrunache,ROU,5,0,1,6
Zou Kai,CHN,5,0,1,6
Lisa Carrington,NZL,5,0,1,6
Missy Franklin,USA,5,0,1,6
Bud Fisher,USA,5,0,0,5
Eric Heiden,USA,5,0,0,5
Sue Bird,USA,5,0,0,5
Diana Taurasi,USA,5,0,0,5
Anastasiya Davydova,RUS,5,0,0,5
Chen Ruolin,CHN,5,0,0,5
Nataliya Ishchenko,RUS,5,0,0,5
Ma Long,CHN,5,0,0,5
Raisa Smetanina,RUS URS EUN,4,5,1,10
Aleksandr Popov,RUS EUN,4,5,0,9
Dara Torres,USA,4,4,4,12
Dawn Fraser,AUS,4,4,0,8
Kornelia Ender,GDR,4,4,0,8
Allison Schmitt,USA,4,3,3,10
Lyudmila Turishcheva,RUS URS,4,3,2,9
Sixten Jernberg,SWE,4,3,2,9
Georges Miez,SUI,4,3,1,8
Otto Olsen,NOR,4,3,1,8
Ricco Groß,GER,4,3,1,8
Emil Hegle Svendsen,NOR,4,3,1,8
Ivan Patzaichin,ROU,4,3,0,7
Aleksey Nemov,RUS,4,2,6,12
Sven Kramer,NED,4,2,3,9
Roland Matthes,GDR,4,2,2,8
Inge de Bruijn,NED,4,2,2,8
Galina Kulakova,RUS URS,4,2,2,8
Sven Fischer,GER,4,2,2,8
Jason Lezak,USA,4,2,2,8
Kjetil André Aamodt,NOR,4,2,2,8
Einar Liberg,NOR,4,2,1,7
Ivar Ballangrud,NOR,4,2,1,7
Christian d'Oriola,FRA,4,2,0,6
Lucien Gaudin,FRA,4,2,0,6
Giuseppe Delfino,ITA,4,2,0,6
Olga Korbut,BLR URS,4,2,0,6
Guo Jingjing,CHN,4,2,0,6
Janica Kostelić,CRO,4,2,0,6
Kevin Kuske,GER,4,2,0,6
Jin Jong-O,KOR,4,2,0,6
Matt Grevers,USA,4,2,0,6
Jørgen Graabak,NOR,4,2,0,6
Giovanna Trillini,ITA,4,1,3,8
Cate Campbell,AUS,4,1,3,8
Lloyd Spooner,USA,4,1,2,7
Charlie Daniels,USA,4,1,2,7
Kosuke Kitajima,JPN,4,1,2,7
Libby Lenton-Trickett,AUS,4,1,2,7
Simone Biles,USA,4,1,2,7
Kim Su-Nyeong,KOR,4,1,1,6
Leontien Zijlaard-van Moorsel,NED,4,1,1,6
Yelena Novikova-Belova,BLR URS,4,1,1,6
Viktor Sidyak,BLR URS,4,1,1,6
Doina Ignat,ROU,4,1,1,6
Murray Rose,AUS,4,1,1,6
Katrin Wagner-Augustin,GER,4,1,1,6
Gunde Svan,SWE,4,1,1,6
Charles Hamelin,CAN,4,1,1,6
Wang Meng,CHN,4,1,1,6
Daria Domrachava,BLR,4,1,1,6
Therese Johaug,NOR,4,1,1,6
Ryan Murphy,USA,4,1,1,6
Ian Ferguson,NZL,4,1,0,5
Charles Pahud de Mortanges,NED,4,1,0,5
Ramón Fonst,CUB,4,1,0,5
Oreste Puliti,ITA,4,1,0,5
Ecaterina Szabo,ROU,4,1,0,5
Vladimir Artyomov,RUS URS,4,1,0,5
Valentin Muratov,RUS URS,4,1,0,5
Fu Mingxia,CHN,4,1,0,5
Janet Evans,USA,4,1,0,5
Greg Louganis,USA,4,1,0,5
John Naber,USA,4,1,0,5
Ben Ainslie,GBR,4,1,0,5
Hannes Kolehmainen,FIN,4,1,0,5
Emil Zátopek,CZE TCH,4,1,0,5
Evelyn Ashford,USA,4,1,0,5
Mel Sheppard,USA,4,1,0,5
Yevgeny Grishin,RUS URS,4,1,0,5
Johann Olav Koss,NOR,4,1,0,5
Yana Klochkova,UKR,4,1,0,5
Wang Nan,CHN,4,1,0,5
Venus Williams,USA,4,1,0,5
Matti Nykänen,FIN,4,1,0,5
Aleksandr Tikhonov,RUS URS,4,1,0,5
Nikolay Zimyatov,RUS URS,4,1,0,5
Jayna Hefford,CAN,4,1,0,5
Hayley Wickenheiser,CAN,4,1,0,5
André Lange,GER,4,1,0,5
Győző Kulcsár,HUN,4,0,2,6
Teresa Edwards,USA,4,0,1,5
Ludger Beerbaum,GER FRG,4,0,1,5
Marcus Hurley,USA,4,0,1,5
Stanislav Pozdnyakov,RUS EUN,4,0,1,5
Giorgio Zampori,ITA,4,0,1,5
Kathrin Boron,GER,4,0,1,5
Viorica Susanu,ROU,4,0,1,5
Jon Olsen,USA,4,0,1,5
Jeon I-Gyeong,KOR,4,0,1,5
Li Xiaopeng,CHN,4,0,1,5
Sanya Richards-Ross,USA,4,0,1,5
Deng Yaping,CHN,4,0,0,4
Lisa Leslie,USA,4,0,0,4
Nicole Uphoff-Becker,GER FRG,4,0,0,4
Henri Saint Cyr,SWE,4,0,0,4
Jenő Fuchs,HUN,4,0,0,4
Carlo Pavesi,ITA,4,0,0,4
Viktor Krovopuskov,RUS URS,4,0,0,4
Matthew Pinsent,GBR,4,0,0,4
Tamás Darnyi,HUN,4,0,0,4
Vladimir Salnikov,RUS URS,4,0,0,4
Pat McCormick,USA,4,0,0,4
Paul Radmilovic,GBR,4,0,0,4
Paul Elvstrøm,DEN,4,0,0,4
Betty Cuthbert,AUS,4,0,0,4
Lasse Virén,FIN,4,0,0,4
Bärbel Eckert-Wöckel,GDR,4,0,0,4
Carl Schuhmann,GER,4,0,0,4
Fanny Blankers-Koen,NED,4,0,0,4
Robert Korzeniowski,POL,4,0,0,4
Harrison Dillard,USA,4,0,0,4
Michael Johnson,USA,4,0,0,4
Al Kraenzlein,USA,4,0,0,4
Al Oerter,USA,4,0,0,4
Jesse Owens,USA,4,0,0,4
Lenny Krayzelburg,USA,4,0,0,4
